temp,time_ms,minutes,temp_corrigida,temp_suavizada
24.77,540861,9.01,32.747,32.747
24.77,541901,9.03,32.747,32.747
24.81,542941,9.05,32.791000000000004,32.76166666666666
24.81,543981,9.07,32.791000000000004,32.769000000000005
24.75,545021,9.08,32.725,32.760200000000005
24.71,546061,9.1,32.681000000000004,32.74700000000001
24.77,547101,9.12,32.747,32.747
24.81,548141,9.14,32.791000000000004,32.752500000000005
24.81,549181,9.15,32.791000000000004,32.756777777777785
24.77,550221,9.17,32.747,32.7558
24.81,551261,9.19,32.791000000000004,32.75900000000001
24.77,552301,9.21,32.747,32.758
24.83,553341,9.22,32.813,32.762230769230776
24.81,554381,9.24,32.791000000000004,32.76428571428572
24.81,555421,9.26,32.791000000000004,32.76606666666667
24.77,556461,9.27,32.747,32.76606666666667
24.81,557501,9.29,32.791000000000004,32.769
24.83,558541,9.31,32.813,32.77046666666667
24.83,559581,9.33,32.813,32.77193333333334
24.77,560621,9.34,32.747,32.7734
24.81,561661,9.36,32.791000000000004,32.78073333333334
24.83,562701,9.38,32.813,32.785133333333334
24.83,563741,9.4,32.813,32.7866
24.77,564781,9.41,32.747,32.78366666666667
24.81,565821,9.43,32.791000000000004,32.7866
24.83,566861,9.45,32.813,32.788066666666666
24.81,567901,9.47,32.791000000000004,32.791000000000004
24.81,568941,9.48,32.791000000000004,32.78953333333333
24.77,569981,9.5,32.747,32.7866
24.81,571021,9.52,32.791000000000004,32.7866
24.81,572061,9.53,32.791000000000004,32.78953333333333
24.83,573101,9.55,32.813,32.791000000000004
24.81,574141,9.57,32.791000000000004,32.78953333333333
24.81,575181,9.59,32.791000000000004,32.788066666666666
24.83,576221,9.6,32.813,32.79246666666667
24.75,577261,9.62,32.725,32.788066666666666
24.81,578301,9.64,32.791000000000004,32.7866
24.83,579341,9.66,32.813,32.7866
24.83,580381,9.67,32.813,32.791000000000004
24.81,581421,9.69,32.791000000000004,32.791000000000004
24.83,582461,9.71,32.813,32.791000000000004
24.81,583501,9.73,32.791000000000004,32.791000000000004
24.81,584541,9.74,32.791000000000004,32.791000000000004
24.81,585581,9.76,32.791000000000004,32.793933333333335
24.77,586621,9.78,32.747,32.791000000000004
24.83,587661,9.79,32.813,32.79246666666667
24.81,588701,9.81,32.791000000000004,32.791000000000004
24.83,589741,9.83,32.813,32.79246666666667
24.83,590781,9.85,32.813,32.793933333333335
24.83,591821,9.86,32.813,32.793933333333335
24.83,592861,9.88,32.813,32.799800000000005
24.83,593901,9.9,32.813,32.80126666666667
24.83,594941,9.92,32.813,32.80126666666667
24.83,595981,9.93,32.813,32.80126666666667
24.83,597021,9.95,32.813,32.802733333333336
24.87,598061,9.97,32.857000000000006,32.80566666666667
24.83,599101,9.99,32.813,32.80713333333333
24.87,600141,10.0,32.857000000000006,32.81153333333334
25.25,601182,10.02,33.275000000000006,32.8438
25.35,602224,10.04,33.385000000000005,32.88633333333334
25.37,603266,10.05,33.407000000000004,32.92593333333334
25.29,604308,10.07,33.319,32.961133333333336
25.17,605350,10.09,33.187000000000005,32.98606666666667
25.07,606392,10.11,33.077000000000005,33.00366666666667
25.07,607434,10.12,33.077000000000005,33.02126666666667
25.05,608476,10.14,33.05500000000001,33.037400000000005
23.69,609517,10.16,31.559000000000005,32.95380000000001
23.09,610558,10.18,30.899,32.82620000000001
23.21,611599,10.19,31.031000000000002,32.7074
25.29,612640,10.21,33.319,32.74113333333334
25.87,613682,10.23,33.957,32.81446666666667
24.87,614724,10.25,32.857000000000006,32.817400000000006
nan,615765,10.26,nan,nan
nan,616804,10.28,nan,nan
24.89,617843,10.3,32.879000000000005,nan
24.99,618884,10.31,32.989000000000004,nan
25.01,619925,10.33,33.011,nan
24.83,620966,10.35,32.813,nan
24.83,622007,10.37,32.813,nan
24.81,623048,10.38,32.791000000000004,nan
24.83,624089,10.4,32.813,nan
24.83,625130,10.42,32.813,nan
24.83,626171,10.44,32.813,nan
24.83,627212,10.45,32.813,nan
24.75,628253,10.47,32.725,nan
24.59,629294,10.49,32.549,nan
24.53,630335,10.51,32.483000000000004,nan
30.37,631376,10.52,38.90700000000001,nan
40.83,632417,10.54,50.413000000000004,34.375
30.17,633458,10.56,38.687000000000005,34.7622
26.91,634499,10.57,35.101000000000006,34.903000000000006
26.11,635540,10.59,34.221000000000004,34.98366666666667
25.67,636581,10.61,33.737,35.04526666666667
25.05,637622,10.63,33.05500000000001,35.061400000000006
24.83,638663,10.64,32.813,35.06286666666667
24.83,639704,10.66,32.813,35.06286666666667
24.83,640745,10.68,32.813,35.06286666666667
25.19,641786,10.7,33.209,35.08926666666667
25.07,642828,10.71,33.077000000000005,35.10686666666667
24.99,643869,10.73,32.989000000000004,35.12446666666667
24.93,644910,10.75,32.923,35.14940000000001
24.83,645951,10.77,32.813,35.1714
24.71,646992,10.78,32.681000000000004,34.75633333333334
24.63,648033,10.8,32.593,33.568333333333335
24.63,649074,10.82,32.593,33.16206666666667
24.63,650115,10.84,32.593,32.994866666666674
24.59,651156,10.85,32.549,32.8834
24.53,652197,10.87,32.483000000000004,32.799800000000005
24.39,653238,10.89,32.329,32.751400000000004
24.39,654279,10.9,32.329,32.71913333333334
24.41,655320,10.92,32.351000000000006,32.68833333333334
24.23,656361,10.94,32.153000000000006,32.644333333333336
24.23,657402,10.96,32.153000000000006,32.573933333333336
23.81,658443,10.97,31.691000000000003,32.48153333333334
24.11,660525,11.01,32.021,32.417
24.09,661566,11.03,31.999000000000002,32.3554
24.35,662607,11.04,32.285000000000004,32.32020000000001
24.51,663648,11.06,32.461000000000006,32.30553333333334
24.51,664689,11.08,32.461000000000006,32.296733333333336
23.81,665730,11.1,31.691000000000003,32.2366
20.99,666771,11.11,28.589000000000002,31.969666666666672
21.51,667812,11.13,29.161000000000005,31.743800000000004
21.39,668853,11.15,29.029000000000003,31.513533333333335
21.77,669894,11.16,29.447000000000003,31.3214
21.83,670935,11.18,29.513,31.13366666666667
21.97,671976,11.2,29.667,30.954733333333333
22.05,673017,11.22,29.755000000000003,30.79486666666667
22.07,674058,11.23,29.777,30.636466666666667
21.97,675099,11.25,29.667,30.501533333333334
22.23,676140,11.27,29.953000000000003,30.36366666666667
25.85,677181,11.29,33.935,30.492733333333334
26.21,678222,11.3,34.331,30.62913333333334
25.97,679263,11.32,34.067,30.736200000000004
26.29,680304,11.34,34.419000000000004,30.866733333333336
26.35,681345,11.36,34.48500000000001,31.053
26.03,682386,11.37,34.133,31.422600000000003
25.55,683427,11.39,33.605000000000004,31.718866666666667
25.63,684468,11.41,33.693000000000005,32.0298
25.79,685509,11.43,33.869,32.324600000000004
25.69,686550,11.44,33.75900000000001,32.607666666666674
25.63,687591,11.46,33.693000000000005,32.876066666666674
25.81,688632,11.48,33.891,33.1518
25.67,689673,11.49,33.737,33.415800000000004
25.43,690714,11.51,33.473,33.66953333333334
25.31,691755,11.53,33.341,33.8954
25.91,692796,11.55,34.001000000000005,33.899800000000006
25.81,693837,11.56,33.891,33.870466666666665
25.85,694878,11.58,33.935,33.86166666666667
25.61,695919,11.6,33.671,33.8118
25.61,696960,11.62,33.671,33.757533333333335
25.41,698001,11.63,33.451,33.71206666666667
25.43,699042,11.65,33.473,33.70326666666667
26.23,700083,11.67,34.353,33.74726666666667
25.73,701124,11.69,33.803000000000004,33.74286666666667
25.37,702165,11.7,33.407000000000004,33.7194
24.53,703206,11.72,32.483000000000004,33.638733333333334
24.53,704247,11.74,32.483000000000004,33.544866666666664
24.41,705288,11.75,32.351000000000006,33.452466666666666
26.11,706329,11.77,34.221000000000004,33.50233333333333
23.65,707370,11.79,31.515,33.3806
22.81,708411,11.81,30.591,33.15326666666667
22.99,709452,11.82,30.789,32.946466666666666
23.97,710493,11.84,31.867,32.8086
27.23,711534,11.86,35.45300000000001,32.927400000000006
28.05,712575,11.88,36.355,33.10633333333333
28.45,713616,11.89,36.79500000000001,33.32926666666667
28.07,714657,11.91,36.377,33.52286666666667
27.75,715698,11.93,36.025000000000006,33.63433333333334
27.79,716739,11.95,36.069,33.7854
27.99,717780,11.96,36.288999999999994,33.97753333333334
28.13,718821,11.98,36.443,34.24153333333334
28.45,719862,12.0,36.79500000000001,34.529
28.47,720903,12.02,36.817,34.82673333333334
28.45,721944,12.03,36.79500000000001,34.998333333333335
27.05,722985,12.05,35.255,35.24766666666667
24.23,724026,12.07,32.153000000000006,35.351800000000004
23.05,725068,12.08,30.855000000000004,35.35620000000001
23.65,726110,12.1,31.515,35.33273333333334
20.95,727152,12.12,28.545,34.87220000000001
21.71,728194,12.14,29.381000000000004,34.40726666666667
22.05,729236,12.15,29.755000000000003,33.93793333333333
21.97,731320,12.19,29.667,33.4906
23.59,732362,12.21,31.449,33.18553333333333
21.55,733404,12.22,29.205000000000002,32.72793333333333
22.37,734446,12.24,30.107000000000003,32.3158
23.51,735488,12.26,31.361000000000004,31.977
23.41,736529,12.28,31.251,31.607400000000002
23.63,737570,12.29,31.493000000000002,31.25246666666667
23.63,738611,12.31,31.493000000000002,30.899
23.59,739652,12.33,31.449,30.645266666666668
23.71,740693,12.34,31.581000000000003,30.607133333333334
23.85,741734,12.36,31.735000000000003,30.6658
23.87,742775,12.38,31.757000000000005,30.681933333333337
23.91,743816,12.4,31.801000000000002,30.899
23.93,744857,12.41,31.823000000000004,31.0618
23.91,745898,12.43,31.801000000000002,31.1982
23.91,746939,12.45,31.801000000000002,31.340466666666668
23.91,747980,12.47,31.801000000000002,31.36393333333334
23.93,749021,12.48,31.823000000000004,31.53846666666667
23.93,750062,12.5,31.823000000000004,31.65286666666667
23.97,751103,12.52,31.867,31.686600000000002
23.97,752144,12.54,31.867,31.727666666666668
23.93,753185,12.55,31.823000000000004,31.74966666666667
23.91,754226,12.57,31.801000000000002,31.770200000000003
23.97,755267,12.59,31.867,31.79806666666667
23.99,756308,12.61,31.889,31.818600000000004
23.97,757349,12.62,31.867,31.827400000000004
23.97,758390,12.64,31.867,31.834733333333336
24.03,759431,12.66,31.933000000000003,31.843533333333333
23.99,760472,12.67,31.889,31.847933333333337
24.03,761513,12.69,31.933000000000003,31.856733333333334
23.99,762554,12.71,31.889,31.8626
23.85,763595,12.73,31.735000000000003,31.858200000000004
23.87,764636,12.74,31.757000000000005,31.8538
23.87,765677,12.76,31.757000000000005,31.849400000000003
23.85,766718,12.78,31.735000000000003,31.840600000000002
23.69,767759,12.8,31.559000000000005,31.82006666666667
24.35,768801,12.81,32.285000000000004,31.85086666666667
23.97,769843,12.83,31.867,31.85526666666667
23.85,770885,12.85,31.735000000000003,31.84646666666667
23.81,771927,12.87,31.691000000000003,31.833266666666667
23.85,772968,12.88,31.735000000000003,31.82446666666667
23.81,774009,12.9,31.691000000000003,31.812733333333334
23.79,775050,12.92,31.669,31.795133333333336
23.79,776092,12.93,31.669,31.78046666666667
23.41,777134,12.95,31.251,31.735000000000003
23.45,778175,12.97,31.295,31.695400000000003
23.33,779216,12.99,31.163,31.65726666666667
23.59,780258,13.0,31.449,31.636733333333336
24.21,781300,13.02,32.131,31.66166666666667
24.03,782342,13.04,31.933000000000003,31.67486666666667
24.11,783384,13.06,32.021,31.70566666666667
24.69,784426,13.07,32.659000000000006,31.7306
25.07,785468,13.09,33.077000000000005,31.81126666666667
nan,786510,13.11,nan,nan
nan,787549,13.13,nan,nan
nan,788588,13.14,nan,nan
nan,789627,13.16,nan,nan
nan,790666,13.18,nan,nan
nan,791705,13.2,nan,nan
nan,792744,13.21,nan,nan
nan,793783,13.23,nan,nan
nan,794822,13.25,nan,nan
nan,795861,13.26,nan,nan
nan,796900,13.28,nan,nan
nan,797939,13.3,nan,nan
nan,798978,13.32,nan,nan
nan,800017,13.33,nan,nan
nan,801056,13.35,nan,nan
nan,802095,13.37,nan,nan
nan,803134,13.39,nan,nan
nan,804173,13.4,nan,nan
nan,805212,13.42,nan,nan
nan,806251,13.44,nan,nan
nan,807290,13.45,nan,nan
nan,808329,13.47,nan,nan
nan,809368,13.49,nan,nan
nan,810407,13.51,nan,nan
nan,811446,13.52,nan,nan
nan,812485,13.54,nan,nan
nan,813524,13.56,nan,nan
nan,814563,13.58,nan,nan
nan,815602,13.59,nan,nan
nan,816641,13.61,nan,nan
nan,817680,13.63,nan,nan
nan,818719,13.65,nan,nan
nan,819758,13.66,nan,nan
nan,820797,13.68,nan,nan
nan,821836,13.7,nan,nan
nan,822875,13.71,nan,nan
nan,823914,13.73,nan,nan
nan,824953,13.75,nan,nan
nan,825992,13.77,nan,nan
nan,827031,13.78,nan,nan
nan,828070,13.8,nan,nan
nan,829109,13.82,nan,nan
nan,830148,13.84,nan,nan
nan,831187,13.85,nan,nan
nan,832226,13.87,nan,nan
