temp,time_ms,minutes,temp_simulada_10pct
29.45,187261,3.12,32.395
29.25,188301,3.14,32.175000000000004
29.35,189341,3.16,32.285000000000004
29.45,190381,3.17,32.395
29.65,191421,3.19,32.615
29.83,192461,3.21,32.813
29.89,193501,3.23,32.879000000000005
29.97,194541,3.24,32.967
29.85,195581,3.26,32.835
29.79,196621,3.28,32.769
29.89,197661,3.29,32.879000000000005
29.97,198701,3.31,32.967
29.99,199741,3.33,32.989000000000004
29.83,200781,3.35,32.813
29.83,201821,3.36,32.813
29.71,202861,3.38,32.681000000000004
29.83,203901,3.4,32.813
29.59,204941,3.42,32.549
29.39,205981,3.43,32.329
29.35,207021,3.45,32.285000000000004
29.19,208061,3.47,32.109
29.25,209101,3.49,32.175000000000004
29.51,210141,3.5,32.461000000000006
29.77,211181,3.52,32.747
29.77,212221,3.54,32.747
29.51,213261,3.55,32.461000000000006
29.49,214301,3.57,32.439
29.43,215341,3.59,32.373000000000005
29.55,216381,3.61,32.505
29.63,217421,3.62,32.593
29.79,218461,3.64,32.769
29.89,219501,3.66,32.879000000000005
29.89,220541,3.68,32.879000000000005
29.83,221581,3.69,32.813
29.63,222621,3.71,32.593
29.51,223661,3.73,32.461000000000006
29.49,224701,3.75,32.439
29.43,225741,3.76,32.373000000000005
29.57,226781,3.78,32.527
29.71,227821,3.8,32.681000000000004
29.83,228861,3.81,32.813
29.93,229901,3.83,32.923
29.49,230941,3.85,32.439
31.19,231981,3.87,34.309000000000005
29.69,233021,3.88,32.659000000000006
29.15,234061,3.9,32.065
28.95,235101,3.92,31.845000000000002
29.05,236141,3.94,31.955000000000002
28.97,237181,3.95,31.867
30.59,238221,3.97,33.649
26.85,239261,3.99,29.535000000000004
27.35,240301,4.01,30.085000000000004
23.85,241341,4.02,26.235000000000003
23.03,242381,4.04,25.333000000000002
24.89,243421,4.06,27.379
27.25,244461,4.07,29.975
25.67,245501,4.09,28.237000000000005
26.11,246541,4.11,28.721
31.41,247581,4.13,34.551
34.21,248621,4.14,37.63100000000001
35.69,249661,4.16,39.259
36.15,250701,4.18,39.765
41.75,251741,4.2,45.925000000000004
36.77,252781,4.21,40.44700000000001
37.35,253821,4.23,41.08500000000001
36.77,254861,4.25,40.44700000000001
36.39,255901,4.27,40.029
36.39,256941,4.28,40.029
32.89,257981,4.3,36.179
35.53,259021,4.32,39.083000000000006
26.87,260061,4.33,29.557000000000002
26.79,261101,4.35,29.469
27.59,262141,4.37,30.349000000000004
27.29,263181,4.39,30.019000000000002
27.29,264221,4.4,30.019000000000002
27.29,265261,4.42,30.019000000000002
27.37,266301,4.44,30.107000000000003
27.55,267341,4.46,30.305000000000003
27.49,268381,4.47,30.239
27.59,269421,4.49,30.349000000000004
27.55,270461,4.51,30.305000000000003
27.17,271501,4.53,29.887000000000004
27.95,272541,4.54,30.745
30.63,273581,4.56,33.693000000000005
30.67,274621,4.58,33.737
30.65,275661,4.59,33.715
30.71,276701,4.61,33.781000000000006
30.73,277741,4.63,33.803000000000004
30.73,278781,4.65,33.803000000000004
27.15,279821,4.66,29.865000000000002
27.75,280861,4.68,30.525000000000002
27.55,281901,4.7,30.305000000000003
28.19,282941,4.72,31.009000000000004
27.15,283981,4.73,29.865000000000002
27.09,285021,4.75,29.799000000000003
26.97,286061,4.77,29.667
27.37,287101,4.79,30.107000000000003
26.61,288141,4.8,29.271
26.83,289181,4.82,29.513
27.15,290221,4.84,29.865000000000002
27.29,291261,4.85,30.019000000000002
26.91,292301,4.87,29.601000000000003
26.91,293341,4.89,29.601000000000003
27.05,294381,4.91,29.755000000000003
27.11,295421,4.92,29.821
27.21,296461,4.94,29.931000000000004
27.69,297501,4.96,30.459000000000003
27.69,298541,4.98,30.459000000000003
27.69,299581,4.99,30.459000000000003
29.93,300621,5.01,32.923
29.15,301661,5.03,32.065
28.85,302701,5.05,31.735000000000003
27.87,303741,5.06,30.657000000000004
26.77,304781,5.08,29.447000000000003
25.97,305821,5.1,28.567
27.05,306861,5.11,29.755000000000003
23.93,307901,5.13,26.323
23.71,308941,5.15,26.081000000000003
22.77,309981,5.17,25.047
23.41,311021,5.18,25.751
23.09,313101,5.22,25.399
22.95,314141,5.24,25.245
23.03,315181,5.25,25.333000000000002
23.09,316221,5.27,25.399
22.83,317261,5.29,25.113
22.65,318301,5.31,24.915
nan,319341,5.32,nan
nan,320378,5.34,nan
nan,321415,5.36,nan
nan,322452,5.37,nan
nan,323489,5.39,nan
nan,324526,5.41,nan
nan,325563,5.43,nan
nan,326600,5.44,nan
nan,327637,5.46,nan
nan,328674,5.48,nan
nan,329711,5.5,nan
nan,331785,5.53,nan
nan,332822,5.55,nan
nan,333859,5.56,nan
nan,334896,5.58,nan
nan,335933,5.6,nan
22.37,336971,5.62,24.607000000000003
22.47,338011,5.63,24.717000000000002
22.43,339051,5.65,24.673000000000002
22.69,340091,5.67,24.959000000000003
22.69,341131,5.69,24.959000000000003
22.71,342171,5.7,24.981
22.81,343211,5.72,25.091
22.81,344251,5.74,25.091
22.83,345291,5.75,25.113
22.81,346331,5.77,25.091
